iter	RMSE	MAE
0	3085.94042	2258.337306
1	2938.103347	2137.965747
2	2807.255892	2031.920468
3	2689.135463	1936.407329
4	2579.361953	1848.339762
5	2478.827135	1769.140793
6	2393.472682	1699.498257
7	2317.911139	1636.637906
8	2253.922871	1582.073713
9	2190.487793	1531.979708
10	2127.498635	1481.988495
11	2071.159726	1436.716404
12	2025.304913	1399.695698
13	1981.266482	1363.63143
14	1948.146986	1335.157504
15	1914.372211	1307.777524
16	1877.929137	1278.540921
17	1851.006615	1256.819259
18	1819.967917	1233.513618
19	1791.161589	1211.753893
20	1771.161402	1195.602623
21	1751.879838	1180.31228
22	1730.265167	1163.728838
23	1712.734237	1150.482795
24	1696.119077	1137.548556
25	1681.312153	1126.577144
26	1667.297398	1116.147466
27	1656.547414	1108.062262
28	1644.417866	1097.997271
29	1632.73779	1089.522991
30	1623.835064	1082.527837
31	1615.286931	1076.574764
32	1608.429702	1071.726593
33	1598.577407	1065.430131
34	1591.457069	1059.825927
35	1585.507415	1055.653404
36	1579.439421	1050.517885
37	1572.140223	1044.987863
38	1567.652412	1041.047836
39	1561.197482	1036.585086
40	1556.64128	1032.77851
41	1552.816297	1029.572427
42	1547.492352	1025.510817
43	1543.120126	1022.252906
44	1538.577479	1019.006735
45	1533.948367	1016.358427
46	1529.492946	1013.066152
47	1525.913733	1010.148514
48	1522.336677	1007.489239
49	1518.907246	1005.359172
50	1515.266261	1002.844463
51	1511.951321	1000.585782
52	1508.687488	998.18715
53	1505.913237	995.8147349
54	1502.517877	993.1558502
55	1499.911065	991.6707323
56	1497.258135	989.5322664
57	1494.235523	987.3078556
58	1491.887826	986.0493972
59	1490.063396	984.8502448
60	1487.870188	983.3360966
61	1486.010113	981.8128695
62	1483.653526	979.9570961
63	1482.566629	978.9840806
64	1480.960125	977.7847055
65	1478.834582	976.5649267
66	1477.310011	975.0771829
67	1475.314423	973.4341368
68	1473.982455	972.3108912
69	1472.754403	971.3284517
70	1471.528932	970.5836291
71	1469.687108	969.3836055
72	1467.862353	968.4399006
73	1465.794998	966.7617441
74	1465.169258	966.0540307
75	1463.902185	965.0948969
76	1462.163685	963.6846383
77	1460.318836	962.5386846
78	1458.679209	961.5667865
79	1457.221168	960.5239924
80	1454.788794	959.2434713
81	1453.614274	958.4379003
82	1453.265781	957.9705858
83	1452.455418	957.2771385
84	1451.301044	956.6380427
85	1450.026307	955.8313231
86	1447.532834	954.566926
87	1446.051232	953.590354
88	1444.054481	952.6301961
89	1442.281159	951.3021732
90	1441.23286	950.2209011
91	1440.128455	949.4397515
92	1439.629819	948.8258426
93	1438.826891	948.1154716
94	1436.892521	947.1026309
95	1435.382873	946.2737048
96	1434.616015	945.4489531
97	1433.743339	944.8019543
98	1432.734439	943.8856951
99	1430.59632	942.7300283
100	1429.393059	941.8415863
101	1428.093285	941.0898838
102	1427.325546	940.6422364
103	1426.894335	940.1519894
104	1425.250521	939.2245871
105	1424.020986	938.5540314
106	1422.85948	937.6100727
107	1421.435628	936.8114977
108	1420.285614	935.9863022
109	1418.023299	934.8589695
110	1417.327647	934.1793758
111	1416.42575	933.426925
112	1415.701327	932.8186707
113	1414.372044	932.0596009
114	1413.731303	931.4723719
115	1412.906965	930.859014
116	1411.998696	930.193528
117	1410.242761	929.1334786
118	1409.099882	928.3099284
119	1408.55587	927.8296333
120	1408.328298	927.5007203
121	1407.528522	927.0424183
122	1406.863567	926.5807906
123	1405.850538	925.7106497
124	1405.473106	925.3280881
125	1405.102782	924.8941098
126	1404.605987	924.4432934
127	1404.03119	924.0680092
128	1403.515693	923.5050401
129	1402.918759	923.0706563
130	1401.901587	922.357513
131	1401.144368	921.7643932
132	1400.227204	921.0482622
133	1399.93387	920.7111131
134	1399.423299	920.236273
135	1398.271454	919.4793312
136	1397.760792	919.0429235
137	1397.253915	918.7003848
138	1396.548266	918.34416
139	1396.094338	917.9339808
140	1394.477174	917.1306365
141	1394.002572	916.6281355
142	1392.596272	915.9576802
143	1391.777618	915.5902292
144	1390.726101	914.8023368
145	1390.130751	914.4357142
146	1389.675468	914.0427232
147	1389.191175	913.6630256
148	1388.468279	913.3127032
149	1387.795216	912.8470936
150	1387.118701	912.2799472
151	1386.525567	911.9522888
152	1386.032922	911.6168508
153	1385.757315	911.3219893
154	1385.171181	910.9040713
155	1384.283815	910.3546015
156	1383.046215	909.7837972
157	1382.49808	909.3842562
158	1382.251713	909.1160533
159	1381.108627	908.453812
160	1380.452831	908.0079214
161	1379.996558	907.6526656
162	1379.337898	907.1319753
163	1378.764885	906.8030159
164	1377.999282	906.3164663
165	1377.609831	905.8798325
166	1376.994963	905.5673958
167	1376.612598	905.265117
168	1376.376229	905.0156912
169	1375.777139	904.5478074
170	1375.279042	904.1891429
171	1375.043871	903.9192705
172	1374.451876	903.5620984
173	1373.672286	902.9862071
174	1373.244177	902.7017171
175	1372.900263	902.2489711
176	1371.875164	901.8095575
177	1371.676383	901.6085563
178	1371.189366	901.3620849
179	1370.519368	900.9622208
180	1370.346164	900.7391774
181	1369.662869	900.3044704
182	1369.167947	899.9561733
183	1368.5669	899.4945615
184	1368.117068	899.1390754
185	1367.516533	898.7072557
186	1367.193847	898.3973319
187	1366.951315	898.028388
188	1366.580705	897.8080024
189	1366.391753	897.6495061
190	1365.938864	897.276777
191	1365.866807	897.1759289
192	1365.724204	897.0298483
193	1365.502753	896.840977
194	1364.552057	896.424149
195	1364.314957	896.2524909
196	1363.508451	895.7556223
