iter	Passed	Remaining
0	30	45894
1	58	43552
2	87	43459
3	112	42123
4	139	41707
5	171	42750
6	200	42709
7	228	42523
8	256	42500
9	286	42660
10	312	42338
11	340	42271
12	368	42158
13	396	42047
14	422	41872
15	448	41618
16	475	41477
17	503	41456
18	530	41314
19	558	41292
20	586	41272
21	611	41078
22	638	41023
23	662	40762
24	687	40581
25	713	40452
26	741	40477
27	768	40391
28	794	40321
29	821	40249
30	846	40132
31	872	40031
32	897	39901
33	922	39784
34	951	39839
35	978	39778
36	1005	39756
37	1033	39756
38	1059	39692
39	1084	39600
40	1110	39519
41	1135	39426
42	1162	39386
43	1187	39298
44	1214	39283
45	1240	39219
46	1266	39166
47	1295	39179
48	1322	39158
49	1349	39137
50	1377	39147
51	1405	39151
52	1433	39149
53	1463	39178
54	1492	39219
55	1518	39154
56	1542	39037
57	1567	38968
58	1591	38860
59	1618	38842
60	1646	38834
61	1669	38729
62	1695	38670
63	1721	38625
64	1746	38552
65	1769	38455
66	1801	38529
67	1841	38777
68	1872	38836
69	1898	38786
70	1924	38742
71	1948	38643
72	1971	38537
73	1998	38514
74	2029	38564
75	2057	38552
76	2084	38518
77	2114	38542
78	2143	38551
79	2172	38553
80	2199	38532
81	2227	38513
82	2255	38507
83	2281	38460
84	2309	38441
85	2337	38430
86	2364	38409
87	2392	38382
88	2418	38343
89	2448	38358
90	2474	38310
91	2500	38274
92	2526	38220
93	2552	38173
94	2577	38117
95	2605	38105
96	2630	38049
97	2655	37994
98	2684	37989
99	2708	37921
100	2733	37860
101	2758	37812
102	2785	37774
103	2810	37731
104	2837	37703
105	2861	37633
106	2885	37565
107	2910	37513
108	2936	37476
109	2970	37535
110	2998	37520
111	3023	37475
112	3049	37432
113	3075	37386
114	3100	37345
115	3127	37308
116	3152	37260
117	3179	37238
118	3204	37189
119	3232	37175
120	3259	37142
121	3284	37102
122	3309	37048
123	3335	37016
124	3361	36978
125	3386	36929
126	3412	36894
127	3436	36832
128	3462	36799
129	3488	36766
130	3514	36732
131	3540	36687
132	3566	36659
133	3596	36659
134	3621	36617
135	3647	36579
136	3672	36540
137	3699	36509
138	3724	36469
139	3747	36408
140	3775	36391
141	3802	36360
142	3829	36336
143	3852	36277
144	3880	36264
145	3908	36244
146	3933	36207
147	3960	36182
148	3985	36137
149	4011	36101
150	4038	36077
151	4062	36030
152	4088	35996
153	4116	35975
154	4141	35939
155	4166	35895
156	4192	35864
157	4218	35827
158	4245	35806
159	4274	35795
160	4300	35769
161	4332	35780
162	4357	35745
163	4383	35710
164	4412	35697
165	4439	35675
166	4465	35642
167	4491	35614
168	4517	35576
169	4543	35544
170	4568	35509
171	4593	35467
172	4617	35420
173	4645	35399
174	4670	35360
175	4695	35320
176	4718	35267
177	4743	35231
178	4767	35181
179	4797	35179
180	4823	35151
181	4849	35120
182	4875	35088
183	4901	35053
184	4926	35015
185	4951	34981
186	4978	34955
187	5005	34932
188	5028	34883
189	5052	34837
190	5079	34815
191	5105	34780
192	5129	34736
193	5154	34700
194	5180	34667
195	5205	34635
196	5233	34616
197	5258	34579
198	5284	34548
199	5309	34509
200	5333	34469
201	5358	34433
202	5384	34404
203	5410	34374
204	5435	34338
205	5460	34300
206	5487	34275
207	5512	34238
208	5536	34201
209	5561	34164
210	5588	34137
211	5615	34116
212	5641	34087
213	5671	34079
214	5699	34064
215	5726	34038
216	5751	34007
217	5778	33982
218	5809	33984
219	5842	33995
220	5872	33988
221	5898	33955
222	5925	33934
223	5953	33913
224	5978	33879
225	6005	33855
226	6032	33829
227	6057	33796
228	6083	33764
229	6109	33735
230	6135	33703
231	6160	33673
232	6186	33641
233	6212	33610
234	6238	33581
235	6263	33544
236	6286	33503
237	6312	33473
238	6336	33430
239	6362	33404
240	6392	33394
241	6417	33361
242	6443	33333
243	6471	33309
244	6496	33276
245	6523	33254
246	6548	33218
247	6573	33187
248	6597	33146
249	6624	33120
250	6649	33090
251	6675	33059
252	6699	33021
253	6726	32995
254	6754	32978
255	6781	32952
256	6807	32924
257	6831	32884
258	6857	32856
259	6881	32818
260	6907	32792
261	6934	32765
262	6959	32732
263	6984	32699
264	7016	32697
265	7041	32666
266	7067	32639
267	7094	32612
268	7118	32577
269	7144	32548
270	7170	32516
271	7197	32495
272	7227	32482
273	7251	32447
274	7276	32414
275	7300	32376
276	7327	32351
277	7353	32322
278	7378	32289
279	7402	32254
280	7428	32226
281	7453	32190
282	7476	32150
283	7502	32123
284	7528	32095
285	7554	32068
286	7579	32036
287	7605	32008
288	7630	31972
289	7655	31943
290	7680	31910
291	7706	31883
292	7732	31853
293	7760	31832
294	7784	31798
295	7810	31769
296	7834	31733
297	7861	31707
298	7886	31677
299	7912	31649
300	7939	31626
301	7966	31600
302	7993	31579
303	8021	31559
304	8046	31528
305	8074	31508
306	8099	31476
307	8125	31444
308	8156	31438
309	8181	31407
310	8211	31394
311	8238	31370
312	8264	31340
313	8291	31316
314	8316	31284
315	8340	31250
316	8365	31218
317	8389	31184
318	8416	31160
319	8441	31127
320	8467	31100
321	8497	31085
322	8525	31065
323	8551	31037
324	8575	31003
325	8602	30978
326	8627	30948
327	8652	30915
328	8677	30884
329	8702	30855
330	8727	30823
331	8752	30793
332	8777	30760
333	8803	30734
334	8829	30706
335	8855	30677
336	8882	30655
337	8907	30622
338	8934	30599
339	8960	30569
340	8986	30543
341	9012	30515
342	9038	30489
343	9065	30463
344	9089	30431
345	9115	30401
346	9141	30373
347	9166	30345
348	9191	30313
349	9217	30287
350	9243	30258
351	9268	30226
352	9293	30197
353	9318	30167
354	9348	30152
355	9379	30141
356	9405	30111
357	9432	30087
358	9457	30059
359	9482	30027
360	9506	29993
361	9531	29964
362	9556	29933
363	9582	29906
364	9609	29881
365	9634	29851
366	9659	29821
367	9685	29791
368	9719	29789
369	9746	29765
370	9771	29735
371	9797	29709
372	9823	29680
373	9847	29648
374	9874	29624
375	9899	29594
376	9925	29566
377	9951	29537
378	9977	29512
379	10002	29481
380	10030	29458
381	10056	29431
382	10079	29396
383	10102	29360
384	10128	29331
385	10152	29299
386	10176	29268
387	10204	29244
388	10230	29220
389	10256	29190
390	10281	29162
391	10309	29139
392	10333	29107
393	10359	29079
394	10385	29053
395	10410	29022
396	10435	28992
397	10461	28967
398	10489	28945
399	10514	28914
400	10541	28889
401	10565	28856
402	10591	28830
403	10616	28800
404	10641	28771
405	10667	28744
406	10694	28719
407	10719	28690
408	10744	28660
409	10772	28638
410	10800	28617
411	10827	28592
412	10851	28561
413	10876	28531
414	10903	28507
415	10929	28479
416	10954	28450
417	10980	28422
418	11007	28400
419	11037	28382
420	11065	28359
421	11090	28330
422	11116	28303
423	11141	28273
424	11166	28245
425	11192	28218
426	11217	28187
427	11244	28162
428	11267	28130
429	11295	28106
430	11318	28071
431	11342	28041
432	11365	28007
433	11389	27974
434	11415	27949
435	11442	27922
436	11466	27891
437	11493	27867
438	11519	27840
439	11545	27813
440	11571	27786
441	11596	27757
442	11622	27731
443	11647	27702
444	11674	27677
445	11703	27657
446	11729	27631
447	11758	27611
448	11784	27585
449	11809	27554
450	11835	27528
451	11861	27501
452	11886	27473
453	11911	27443
454	11937	27417
455	11964	27392
456	11990	27366
457	12014	27333
458	12041	27310
459	12067	27282
460	12093	27255
461	12118	27227
462	12143	27198
463	12171	27174
464	12197	27149
465	12223	27121
466	12247	27091
467	12273	27065
468	12298	27036
469	12323	27005
470	12358	26999
471	12384	26971
472	12409	26944
473	12434	26916
474	12460	26887
475	12487	26863
476	12512	26834
477	12537	26806
478	12560	26773
479	12586	26745
480	12613	26721
481	12638	26692
482	12662	26663
483	12688	26636
484	12714	26608
485	12740	26582
486	12768	26558
487	12793	26531
488	12819	26504
489	12845	26477
490	12869	26446
491	12894	26417
492	12920	26391
493	12946	26364
494	12971	26335
495	12994	26302
496	13018	26272
497	13045	26247
498	13070	26218
499	13095	26190
500	13118	26159
501	13146	26135
502	13171	26106
503	13197	26079
504	13221	26050
505	13248	26026
506	13275	26000
507	13299	25969
508	13323	25940
509	13350	25915
510	13376	25889
511	13400	25858
512	13424	25828
513	13451	25803
514	13474	25770
515	13499	25743
516	13524	25714
517	13550	25688
518	13580	25670
519	13605	25641
520	13631	25614
521	13656	25586
522	13685	25565
523	13713	25541
524	13738	25514
525	13765	25490
526	13798	25475
527	13827	25454
528	13855	25432
529	13883	25409
530	13912	25388
531	13949	25382
532	13983	25369
533	14019	25360
534	14046	25335
535	14072	25310
536	14099	25285
537	14128	25263
538	14154	25236
539	14179	25208
540	14204	25179
541	14230	25152
542	14258	25129
543	14282	25099
544	14310	25075
545	14337	25051
546	14364	25025
547	14388	24996
548	14414	24969
549	14442	24945
550	14467	24917
551	14494	24892
552	14520	24865
553	14546	24839
554	14576	24818
555	14601	24791
556	14629	24767
557	14656	24742
558	14684	24719
559	14710	24692
560	14736	24665
561	14763	24640
562	14789	24614
563	14815	24587
564	14843	24563
565	14870	24538
566	14897	24513
567	14924	24488
568	14950	24462
569	14976	24435
570	15001	24406
571	15025	24377
572	15054	24354
573	15091	24346
574	15126	24333
575	15160	24319
576	15199	24314
577	15235	24302
578	15268	24287
579	15302	24272
580	15330	24249
581	15355	24221
582	15381	24193
583	15406	24164
584	15430	24135
585	15454	24105
586	15481	24079
587	15505	24049
588	15529	24020
589	15554	23991
590	15582	23966
591	15608	23939
592	15633	23912
593	15659	23884
594	15685	23857
595	15710	23829
596	15733	23798
597	15758	23769
598	15783	23741
599	15821	23731
600	15848	23706
601	15873	23678
602	15901	23654
603	15932	23634
604	15960	23611
605	15986	23584
606	16011	23556
607	16036	23527
608	16063	23501
609	16090	23476
610	16116	23449
611	16144	23426
612	16169	23397
613	16194	23368
614	16222	23344
615	16246	23315
616	16273	23289
617	16299	23262
618	16324	23234
619	16353	23211
620	16379	23184
621	16410	23165
